30064771376	controllers/articles-controller.js	_tmp_27		select	db("articles")       .select(         ...getSelect("articles", "article", articleFields), 
30064771379	controllers/articles-controller.js	this		db	db("articles")
30064771381	controllers/articles-controller.js	this		getSelect	getSelect("articles", "article", articleFields)
30064771383	controllers/articles-controller.js	this		getSelect	getSelect("users", "author", userFields)
30064771385	controllers/articles-controller.js	this		getSelect	getSelect("articles_tags", "tag", ["id"])
30064771388	controllers/articles-controller.js	_tmp_28			_tmp_28.push("id")
30064771391	controllers/articles-controller.js	this		getSelect	getSelect("tags", "tag", ["id", "name"])
30064771394	controllers/articles-controller.js	_tmp_29			_tmp_29.push("id")
30064771396	controllers/articles-controller.js	_tmp_29			_tmp_29.push("name")
30064771399	controllers/articles-controller.js	_tmp_30		count	db("articles").count()
30064771402	controllers/articles-controller.js	this		db	db("articles")
30064771407	controllers/articles-controller.js	_tmp_31		whereIn	db("users")         .select("id")         .whereIn("username", author)
30064771410	controllers/articles-controller.js	_tmp_32		select	db("users")         .select("id")
30064771413	controllers/articles-controller.js	this		db	db("users")
30064771415	controllers/articles-controller.js	articlesQuery		andWhere	articlesQuery.andWhere("articles.author", "in", subQuery)
30064771418	controllers/articles-controller.js	countQuery		andWhere	countQuery.andWhere("articles.author", "in", subQuery)
30064771424	controllers/articles-controller.js	_tmp_33		whereIn	db("favorites")         .select("article")         .whereIn(           "user",           d
30064771427	controllers/articles-controller.js	_tmp_34		select	db("favorites")         .select("article")
30064771430	controllers/articles-controller.js	this		db	db("favorites")
30064771431	controllers/articles-controller.js	_tmp_35		whereIn	db("users")             .select("id")             .whereIn("username", favorited)
30064771434	controllers/articles-controller.js	_tmp_36		select	db("users")             .select("id")
30064771437	controllers/articles-controller.js	this		db	db("users")
30064771439	controllers/articles-controller.js	articlesQuery		andWhere	articlesQuery.andWhere("articles.id", "in", subQuery)
30064771442	controllers/articles-controller.js	countQuery		andWhere	countQuery.andWhere("articles.id", "in", subQuery)
30064771448	controllers/articles-controller.js	_tmp_37		whereIn	db("articles_tags")         .select("article")         .whereIn(           "tag",         
30064771451	controllers/articles-controller.js	_tmp_38		select	db("articles_tags")         .select("article")
30064771454	controllers/articles-controller.js	this		db	db("articles_tags")
30064771455	controllers/articles-controller.js	_tmp_39		whereIn	db("tags")             .select("id")             .whereIn("name", tag)
30064771458	controllers/articles-controller.js	_tmp_40		select	db("tags")             .select("id")
30064771461	controllers/articles-controller.js	this		db	db("tags")
30064771463	controllers/articles-controller.js	articlesQuery		andWhere	articlesQuery.andWhere("articles.id", "in", subQuery)
30064771466	controllers/articles-controller.js	countQuery		andWhere	countQuery.andWhere("articles.id", "in", subQuery)
30064771469	controllers/articles-controller.js	_tmp_41		leftJoin	articlesQuery       .leftJoin("users", "articles.author", "users.id")       .leftJoin("art
30064771472	controllers/articles-controller.js	_tmp_42		leftJoin	articlesQuery       .leftJoin("users", "articles.author", "users.id")       .leftJoin("art
30064771475	controllers/articles-controller.js	_tmp_43		leftJoin	articlesQuery       .leftJoin("users", "articles.author", "users.id")       .leftJoin("art
30064771478	controllers/articles-controller.js	_tmp_44		leftJoin	articlesQuery       .leftJoin("users", "articles.author", "users.id")       .leftJoin("art
30064771481	controllers/articles-controller.js	articlesQuery		leftJoin	articlesQuery       .leftJoin("users", "articles.author", "users.id")
30064771488	controllers/articles-controller.js	_tmp_49			_tmp_49.push(articlesQuery)
30064771490	controllers/articles-controller.js	_tmp_49			_tmp_49.push(countQuery)
30064771496	controllers/articles-controller.js	_tmp_51			_tmp_51.push(countRes)
30064771499	controllers/articles-controller.js	_tmp_52		map	joinJs       .map(articles, relationsMaps, "articleMap", "article_")       .map(a => {    
30064771502	controllers/articles-controller.js	joinJs		map	joinJs       .map(articles, relationsMaps, "articleMap", "article_")
30064771524	controllers/articles-controller.js	this		uuid	uuid()
30064771527	controllers/articles-controller.js	_tmp_64		validate	ctx.app.schemas.tag.validate(t, opts)
30064771536	controllers/articles-controller.js	this		uuid	uuid()
30064771555	controllers/articles-controller.js	this		uuid	uuid()
30064771563	controllers/articles-controller.js	_tmp_59		validate	ctx.app.schemas.article.validate(article, opts)
30064771571	controllers/articles-controller.js	this		slug	slug(_.get(article, "title", ""), { lower: true })
30064771572	controllers/articles-controller.js	_		get	_.get(article, "title", "")
30064771584	controllers/articles-controller.js	_tmp_61		map	article.tagList           .map(t => ({ id: uuid(), name: t }))           .map(t => ctx.app
30064771587	controllers/articles-controller.js	_tmp_62		map	article.tagList           .map(t => ({ id: uuid(), name: t }))
30064771592	controllers/articles-controller.js	_tmp_65		insert	db("articles").insert(         humps.decamelizeKeys(_.omit(article, ["tagList"])),       )
30064771595	controllers/articles-controller.js	this		db	db("articles")
30064771596	controllers/articles-controller.js	humps		decamelizeKeys	humps.decamelizeKeys(_.omit(article, ["tagList"]))
30064771598	controllers/articles-controller.js	_		omit	_.omit(article, ["tagList"])
30064771602	controllers/articles-controller.js	_tmp_66			_tmp_66.push("tagList")
30064771604	controllers/articles-controller.js	ctx		assert	ctx.assert(         parseInt(err.errno, 10) === 19 || parseInt(err.code, 10) === 23505,   
30064771618	controllers/articles-controller.js	_tmp_67		substr	uuid().substr(-6)
30064771621	controllers/articles-controller.js	this		uuid	uuid()
30064771624	controllers/articles-controller.js	_tmp_68		insert	db("articles").insert(         humps.decamelizeKeys(_.omit(article, ["tagList"])),       )
30064771627	controllers/articles-controller.js	this		db	db("articles")
30064771628	controllers/articles-controller.js	humps		decamelizeKeys	humps.decamelizeKeys(_.omit(article, ["tagList"]))
30064771630	controllers/articles-controller.js	_		omit	_.omit(article, ["tagList"])
30064771634	controllers/articles-controller.js	_tmp_69			_tmp_69.push("tagList")
30064771643	controllers/articles-controller.js	_tmp_70		insert	db("tags").insert(humps.decamelizeKeys(tags[i]))
30064771646	controllers/articles-controller.js	this		db	db("tags")
30064771647	controllers/articles-controller.js	humps		decamelizeKeys	humps.decamelizeKeys(tags[i])
30064771650	controllers/articles-controller.js	ctx		assert	ctx.assert(             parseInt(err.errno, 10) === 19 || parseInt(err.code, 10) === 23505
30064771661	controllers/articles-controller.js	_tmp_71		whereIn	db("tags")         .select()         .whereIn("name", tags.map(t => t.name))
30064771664	controllers/articles-controller.js	_tmp_72		select	db("tags")         .select()
30064771667	controllers/articles-controller.js	this		db	db("tags")
30064771668	controllers/articles-controller.js	tags		map	tags.map(t => t.name)
30064771671	controllers/articles-controller.js	tags		map	tags.map(t => ({         id: uuid(),         tag: t.id,         article: article.id,      
30064771674	controllers/articles-controller.js	_tmp_74		insert	db("articles_tags").insert(relations)
30064771677	controllers/articles-controller.js	this		db	db("articles_tags")
30064771682	controllers/articles-controller.js	_		pick	_.pick(ctx.state.user, ["username", "bio", "image"])
30064771688	controllers/articles-controller.js	_tmp_75			_tmp_75.push("username")
30064771690	controllers/articles-controller.js	_tmp_75			_tmp_75.push("bio")
30064771692	controllers/articles-controller.js	_tmp_75			_tmp_75.push("image")
30064771703	controllers/articles-controller.js	this		uuid	uuid()
30064771706	controllers/articles-controller.js	_tmp_107		validate	ctx.app.schemas.tag.validate(t, opts)
30064771715	controllers/articles-controller.js	this		uuid	uuid()
30064771726	controllers/articles-controller.js	ctx		assert	ctx.assert(       article.author.id === ctx.state.user.id,       422,       new Validation
30064771736	controllers/articles-controller.js	_tmp_78		<operator>.new	new ValidationError(["not owned by user"], "", "article")
30064771739	controllers/articles-controller.js	_tmp_79			_tmp_79.push("not owned by user")
30064771763	controllers/articles-controller.js	_tmp_85		validate	ctx.app.schemas.article.validate(       humps.camelizeKeys(newArticle),       opts,     )
30064771769	controllers/articles-controller.js	humps		camelizeKeys	humps.camelizeKeys(newArticle)
30064771774	controllers/articles-controller.js	this		slug	slug(_.get(newArticle, "title", ""), { lower: true })
30064771775	controllers/articles-controller.js	_		get	_.get(newArticle, "title", "")
30064771781	controllers/articles-controller.js	_tmp_87		toISOString	new Date().toISOString()
30064771786	controllers/articles-controller.js	_tmp_88		<operator>.new	new Date()
30064771788	controllers/articles-controller.js	_tmp_89		where	db("articles")         .update(           humps.decamelizeKeys(             _.pick(newArti
30064771791	controllers/articles-controller.js	_tmp_90		update	db("articles")         .update(           humps.decamelizeKeys(             _.pick(newArti
30064771794	controllers/articles-controller.js	this		db	db("articles")
30064771795	controllers/articles-controller.js	humps		decamelizeKeys	humps.decamelizeKeys(             _.pick(newArticle, [               "title",             
30064771797	controllers/articles-controller.js	_		pick	_.pick(newArticle, [               "title",               "slug",               "body",   
30064771801	controllers/articles-controller.js	_tmp_91			_tmp_91.push("title")
30064771803	controllers/articles-controller.js	_tmp_91			_tmp_91.push("slug")
30064771805	controllers/articles-controller.js	_tmp_91			_tmp_91.push("body")
30064771807	controllers/articles-controller.js	_tmp_91			_tmp_91.push("description")
30064771809	controllers/articles-controller.js	_tmp_91			_tmp_91.push("updatedAt")
30064771814	controllers/articles-controller.js	ctx		assert	ctx.assert(         parseInt(err.errno, 10) === 19 || parseInt(err.code, 10) === 23505,   
30064771828	controllers/articles-controller.js	_tmp_93		substr	uuid().substr(-6)
30064771831	controllers/articles-controller.js	this		uuid	uuid()
30064771834	controllers/articles-controller.js	_tmp_94		where	db("articles")         .update(           humps.decamelizeKeys(             _.pick(newArti
30064771837	controllers/articles-controller.js	_tmp_95		update	db("articles")         .update(           humps.decamelizeKeys(             _.pick(newArti
30064771840	controllers/articles-controller.js	this		db	db("articles")
30064771841	controllers/articles-controller.js	humps		decamelizeKeys	humps.decamelizeKeys(             _.pick(newArticle, [               "title",             
30064771843	controllers/articles-controller.js	_		pick	_.pick(newArticle, [               "title",               "slug",               "body",   
30064771847	controllers/articles-controller.js	_tmp_96			_tmp_96.push("title")
30064771849	controllers/articles-controller.js	_tmp_96			_tmp_96.push("slug")
30064771851	controllers/articles-controller.js	_tmp_96			_tmp_96.push("body")
30064771853	controllers/articles-controller.js	_tmp_96			_tmp_96.push("description")
30064771855	controllers/articles-controller.js	_tmp_96			_tmp_96.push("updatedAt")
30064771866	controllers/articles-controller.js	_tmp_98		where	db("articles_tags")         .del()         .where({ article: article.id })
30064771869	controllers/articles-controller.js	_tmp_99		del	db("articles_tags")         .del()
30064771872	controllers/articles-controller.js	this		db	db("articles_tags")
30064771883	controllers/articles-controller.js	_		difference	_.difference(article.tagList)
30064771887	controllers/articles-controller.js	_		difference	_.difference(fields.tagList)
30064771891	controllers/articles-controller.js	_tmp_101		where	db("articles_tags")           .del()           .where({ article: article.id })
30064771894	controllers/articles-controller.js	_tmp_102		del	db("articles_tags")           .del()
30064771897	controllers/articles-controller.js	this		db	db("articles_tags")
30064771904	controllers/articles-controller.js	_tmp_104		map	newArticle.tagList             .map(t => ({ id: uuid(), name: t }))             .map(t => 
30064771907	controllers/articles-controller.js	_tmp_105		map	newArticle.tagList             .map(t => ({ id: uuid(), name: t }))
30064771916	controllers/articles-controller.js	_tmp_108		insert	db("tags").insert(humps.decamelizeKeys(tags[i]))
30064771919	controllers/articles-controller.js	this		db	db("tags")
30064771920	controllers/articles-controller.js	humps		decamelizeKeys	humps.decamelizeKeys(tags[i])
30064771923	controllers/articles-controller.js	ctx		assert	ctx.assert(               parseInt(err.errno, 10) === 19 ||                 parseInt(err.c
30064771934	controllers/articles-controller.js	_tmp_109		whereIn	db("tags")           .select()           .whereIn("name", tags.map(t => t.name))
30064771937	controllers/articles-controller.js	_tmp_110		select	db("tags")           .select()
30064771940	controllers/articles-controller.js	this		db	db("tags")
30064771941	controllers/articles-controller.js	tags		map	tags.map(t => t.name)
30064771944	controllers/articles-controller.js	tags		map	tags.map(t => ({           id: uuid(),           tag: t.id,           article: article.id,
30064771947	controllers/articles-controller.js	_tmp_112		insert	db("articles_tags").insert(relations)
30064771950	controllers/articles-controller.js	this		db	db("articles_tags")
30064771966	controllers/articles-controller.js	ctx		assert	ctx.assert(       article.author.id === ctx.state.user.id,       422,       new Validation
30064771976	controllers/articles-controller.js	_tmp_115		<operator>.new	new ValidationError(["not owned by user"], "", "article")
30064771979	controllers/articles-controller.js	_tmp_116			_tmp_116.push("not owned by user")
30064771985	controllers/articles-controller.js	_tmp_117			_tmp_117.push(db("favorites")         .del()         .where({ user: ctx.state.user.id, art
30064771987	controllers/articles-controller.js	_tmp_118		where	db("favorites")         .del()         .where({ user: ctx.state.user.id, article: article.
30064771990	controllers/articles-controller.js	_tmp_119		del	db("favorites")         .del()
30064771993	controllers/articles-controller.js	this		db	db("favorites")
30064772002	controllers/articles-controller.js	_tmp_117			_tmp_117.push(db("articles_tags")         .del()         .where({ article: article.id }))
30064772004	controllers/articles-controller.js	_tmp_121		where	db("articles_tags")         .del()         .where({ article: article.id })
30064772007	controllers/articles-controller.js	_tmp_122		del	db("articles_tags")         .del()
30064772010	controllers/articles-controller.js	this		db	db("articles_tags")
30064772014	controllers/articles-controller.js	_tmp_117			_tmp_117.push(db("articles")         .del()         .where({ id: article.id }))
30064772016	controllers/articles-controller.js	_tmp_124		where	db("articles")         .del()         .where({ id: article.id })
30064772019	controllers/articles-controller.js	_tmp_125		del	db("articles")         .del()
30064772022	controllers/articles-controller.js	this		db	db("articles")
30064772028	controllers/articles-controller.js	_tmp_146		onIn	this.on("articles.id", "=", "favorites.article").onIn(               "favorites.user",    
30064772031	controllers/articles-controller.js	this		on	this.on("articles.id", "=", "favorites.article")
30064772035	controllers/articles-controller.js	_tmp_147			_tmp_147.push(user && user.id)
30064772046	controllers/articles-controller.js	_tmp_153		map	a.tagList.map(t => t.name)
30064772067	controllers/articles-controller.js	_tmp_131		where	db("followers")         .pluck("user")         .where({ follower: user.id })
30064772070	controllers/articles-controller.js	_tmp_132		pluck	db("followers")         .pluck("user")
30064772073	controllers/articles-controller.js	this		db	db("followers")
30064772082	controllers/articles-controller.js	_tmp_134			_tmp_134.push(db("articles")           .select(             ...getSelect("articles", "arti
30064772084	controllers/articles-controller.js	_tmp_135		leftJoin	db("articles")           .select(             ...getSelect("articles", "article", articleF
30064772087	controllers/articles-controller.js	_tmp_136		leftJoin	db("articles")           .select(             ...getSelect("articles", "article", articleF
30064772090	controllers/articles-controller.js	_tmp_137		leftJoin	db("articles")           .select(             ...getSelect("articles", "article", articleF
30064772093	controllers/articles-controller.js	_tmp_138		leftJoin	db("articles")           .select(             ...getSelect("articles", "article", articleF
30064772096	controllers/articles-controller.js	_tmp_139		orderBy	db("articles")           .select(             ...getSelect("articles", "article", articleF
30064772099	controllers/articles-controller.js	_tmp_140		offset	db("articles")           .select(             ...getSelect("articles", "article", articleF
30064772102	controllers/articles-controller.js	_tmp_141		limit	db("articles")           .select(             ...getSelect("articles", "article", articleF
30064772105	controllers/articles-controller.js	_tmp_142		whereIn	db("articles")           .select(             ...getSelect("articles", "article", articleF
30064772108	controllers/articles-controller.js	_tmp_143		select	db("articles")           .select(             ...getSelect("articles", "article", articleF
30064772111	controllers/articles-controller.js	this		db	db("articles")
30064772113	controllers/articles-controller.js	this		getSelect	getSelect("articles", "article", articleFields)
30064772115	controllers/articles-controller.js	this		getSelect	getSelect("users", "author", userFields)
30064772117	controllers/articles-controller.js	this		getSelect	getSelect("articles_tags", "tag", ["id"])
30064772120	controllers/articles-controller.js	_tmp_144			_tmp_144.push("id")
30064772123	controllers/articles-controller.js	this		getSelect	getSelect("tags", "tag", ["id", "name"])
30064772126	controllers/articles-controller.js	_tmp_145			_tmp_145.push("id")
30064772128	controllers/articles-controller.js	_tmp_145			_tmp_145.push("name")
30064772130	controllers/articles-controller.js	_tmp_134			_tmp_134.push(db("articles")           .count()           .whereIn("author", followedQuery
30064772132	controllers/articles-controller.js	_tmp_148		whereIn	db("articles")           .count()           .whereIn("author", followedQuery)
30064772135	controllers/articles-controller.js	_tmp_149		count	db("articles")           .count()
30064772138	controllers/articles-controller.js	this		db	db("articles")
30064772143	controllers/articles-controller.js	_tmp_151			_tmp_151.push(countRes)
30064772146	controllers/articles-controller.js	_tmp_152		map	joinJs         .map(articles, relationsMaps, "articleMap", "article_")         .map(a => {
30064772149	controllers/articles-controller.js	joinJs		map	joinJs         .map(articles, relationsMaps, "articleMap", "article_")
30064772178	controllers/articles-controller.js	_tmp_158			_tmp_158.push(db("favorites").insert({           id: uuid(),           user: ctx.state.use
30064772180	controllers/articles-controller.js	_tmp_159		insert	db("favorites").insert({           id: uuid(),           user: ctx.state.user.id,         
30064772183	controllers/articles-controller.js	this		db	db("favorites")
30064772186	controllers/articles-controller.js	this		uuid	uuid()
30064772195	controllers/articles-controller.js	_tmp_158			_tmp_158.push(db("articles")           .increment("favorites_count", 1)           .where({
30064772197	controllers/articles-controller.js	_tmp_161		where	db("articles")           .increment("favorites_count", 1)           .where({ id: article.i
30064772200	controllers/articles-controller.js	_tmp_162		increment	db("articles")           .increment("favorites_count", 1)
30064772203	controllers/articles-controller.js	this		db	db("articles")
30064772236	controllers/articles-controller.js	_tmp_167			_tmp_167.push(db("favorites")           .del()           .where({ user: ctx.state.user.id,
30064772238	controllers/articles-controller.js	_tmp_168		where	db("favorites")           .del()           .where({ user: ctx.state.user.id, article: arti
30064772241	controllers/articles-controller.js	_tmp_169		del	db("favorites")           .del()
30064772244	controllers/articles-controller.js	this		db	db("favorites")
30064772253	controllers/articles-controller.js	_tmp_167			_tmp_167.push(db("articles")           .decrement("favorites_count", 1)           .where({
30064772255	controllers/articles-controller.js	_tmp_171		where	db("articles")           .decrement("favorites_count", 1)           .where({ id: article.i
30064772258	controllers/articles-controller.js	_tmp_172		decrement	db("articles")           .decrement("favorites_count", 1)
30064772261	controllers/articles-controller.js	this		db	db("articles")
30064772288	controllers/articles-controller.js	this		require	require("join-js")
30064772325	controllers/comments-controller.js	this		require	require("humps")
30064772326	controllers/comments-controller.js	this		require	require("uuid")
30064772327	controllers/comments-controller.js	this		require	require("lodash")
30064772328	controllers/comments-controller.js	this		require	require("../lib/utils")
30064772330	controllers/comments-controller.js	this		require	require("../lib/db")
30064772331	controllers/comments-controller.js	this		require	require("../lib/relations-map")
30064772332	controllers/comments-controller.js	ctx		assert	ctx.assert(comment, 404)
30064772336	controllers/comments-controller.js	_tmp_3		where	db("comments")       .first()       .where({ id: comment })
30064772339	controllers/comments-controller.js	_tmp_4		first	db("comments")       .first()
30064772342	controllers/comments-controller.js	this		db	db("comments")
30064772345	controllers/comments-controller.js	ctx		assert	ctx.assert(comment, 404)
30064772350	controllers/comments-controller.js	this		next	next()
30064772351	controllers/comments-controller.js	_tmp_13		onIn	this.on("users.id", "=", "followers.user").onIn("followers.follower", [           user && 
30064772354	controllers/comments-controller.js	this		on	this.on("users.id", "=", "followers.user")
30064772358	controllers/comments-controller.js	_tmp_14			_tmp_14.push(user && user.id)
30064772381	controllers/comments-controller.js	_tmp_8		leftJoin	db("comments")       .select(         ...getSelect("comments", "comment", commentFields), 
30064772384	controllers/comments-controller.js	_tmp_9		leftJoin	db("comments")       .select(         ...getSelect("comments", "comment", commentFields), 
30064772387	controllers/comments-controller.js	_tmp_10		where	db("comments")       .select(         ...getSelect("comments", "comment", commentFields), 
30064772390	controllers/comments-controller.js	_tmp_11		select	db("comments")       .select(         ...getSelect("comments", "comment", commentFields), 
30064772393	controllers/comments-controller.js	this		db	db("comments")
