middleware/camelize-middleware.js		middleware/camelize-middleware.js::program:<lambda>0	METHOD_REF	module.exports = async function(ctx, next) {   await next()   if (ctx.body && _.isObjectLi		
middleware/error-middleware.js		middleware/error-middleware.js::program:<lambda>2	METHOD_REF	module.exports = async (ctx, next) => {   try {     await next()     ctx.assert(ctx.respon		
middleware/jwt-middleware.js			CALL	module.exports = koaJwt({   getToken(ctx, opts) {     const { authorization } = ctx.header		
middleware/pager-middleware.js		middleware/pager-middleware.js::program:<lambda>0	METHOD_REF	module.exports = (ctx, next) => {   if (ctx.method !== "GET") {     return next()   }    c		
middleware/user-middleware.js		middleware/user-middleware.js::program:<lambda>0	METHOD_REF	module.exports = async (ctx, next) => {   if (has(ctx, "state.jwt.sub.id")) {     ctx.stat		
migrations/20170422213822_init.js	up	migrations/20170422213822_init.js::program:up	METHOD_REF	exports.up = function(knex) {   return knex.schema      .createTable("users", function(tab		
migrations/20170422213822_init.js	down	migrations/20170422213822_init.js::program:down	METHOD_REF	exports.down = function(knex) {   return knex.schema     .dropTableIfExists("users")     .		
routes/articles-router.js			CALL	module.exports = router.routes()		
routes/index.js		koa-router	IDENTIFIER	module.exports = router		
routes/profiles-router.js			CALL	module.exports = router.routes()		
routes/tags-router.js			CALL	module.exports = router.routes()		
routes/users-router.js			CALL	module.exports = router.routes()		
schemas/article-schema.js		ANY	IDENTIFIER	module.exports = articleSchema		
schemas/comment-schema.js		ANY	IDENTIFIER	module.exports = commentSchema		
schemas/index.js		schemas/index.js::program:<lambda>0	METHOD_REF	module.exports = function(app) {   app.schemas = {     user,     article,     comment,    		
schemas/tag-schema.js		ANY	IDENTIFIER	module.exports = tagSchema		
schemas/time-stamp-schema.js		ANY	IDENTIFIER	module.exports = timeStampsSchema		
schemas/user-schema.js		ANY	IDENTIFIER	module.exports = userSchema		
seeds/01-users.js	getUsers	seeds/01-users.js::program:getUsers	IDENTIFIER	exports.getUsers = getUsers		
seeds/01-users.js	seed	seeds/01-users.js::program:seed	METHOD_REF	exports.seed = async function(knex) {   if (process.env.NODE_ENV === "production") {     a		
seeds/02-articles.js	getArticles	seeds/02-articles.js::program:getArticles	IDENTIFIER	exports.getArticles = getArticles		
seeds/02-articles.js	seed	seeds/02-articles.js::program:seed	METHOD_REF	exports.seed = async function(knex) {   const users = getUsers()    if (process.env.NODE_E		
