30064771104	107374182534	<operator>.assignment	1	IDENTIFIER	__ecma.Array		p1	ANY	false	p1
30064771104	107374182534	<operator>.assignment	2	CALL	ANY	__ecma.Array.factory	p2	ANY	false	p2
30064771106	107374182565	__ecma.Array:	0	IDENTIFIER	__ecma.Array				false	
30064771106	107374182565	__ecma.Array:	1	CALL	ANY		p0	ANY	false	p0
30064771107	107374182535	<operator>.fieldAccess	1	IDENTIFIER	__ecma.Array		p1	ANY	false	p1
30064771107	107374182535	<operator>.fieldAccess	2	FIELD_IDENTIFIER			p2	ANY	false	p2
30064771108	107374182540	<operator>.spread	1	CALL	ANY		p1	ANY	false	p1
30064771109	107374182568	__ecma.Array:map	0	IDENTIFIER	__ecma.Array				false	
30064771109	107374182568	__ecma.Array:map	1	METHOD_REF			p0	ANY	false	p0
30064771110	107374182535	<operator>.fieldAccess	1	CALL	ANY		p1	ANY	false	p1
30064771110	107374182535	<operator>.fieldAccess	2	FIELD_IDENTIFIER			p2	ANY	false	p2
30064771111	107374182534	<operator>.assignment	1	IDENTIFIER	__ecma.Array		p1	ANY	false	p1
30064771111	107374182534	<operator>.assignment	2	BLOCK			p2	ANY	false	p2
30064771112	107374182534	<operator>.assignment	1	IDENTIFIER	__ecma.Array		p1	ANY	false	p1
30064771112	107374182534	<operator>.assignment	2	CALL	ANY	__ecma.Array.factory	p2	ANY	false	p2
30064771114	107374182565	__ecma.Array:	0	IDENTIFIER	__ecma.Array				false	
30064771114	107374182565	__ecma.Array:	1	LITERAL	__ecma.String		p0	ANY	false	p0
30064771115	107374182535	<operator>.fieldAccess	1	IDENTIFIER	__ecma.Array		p1	ANY	false	p1
30064771115	107374182535	<operator>.fieldAccess	2	FIELD_IDENTIFIER			p2	ANY	false	p2
30064771116	107374182565	__ecma.Array:	0	IDENTIFIER	__ecma.Array				false	
30064771116	107374182565	__ecma.Array:	1	LITERAL	__ecma.String		p0	ANY	false	p0
30064771117	107374182535	<operator>.fieldAccess	1	IDENTIFIER	__ecma.Array		p1	ANY	false	p1
30064771117	107374182535	<operator>.fieldAccess	2	FIELD_IDENTIFIER			p2	ANY	false	p2
30064771118	107374182565	__ecma.Array:	0	IDENTIFIER	__ecma.Array				false	
30064771118	107374182565	__ecma.Array:	1	LITERAL	__ecma.String		p0	ANY	false	p0
30064771119	107374182535	<operator>.fieldAccess	1	IDENTIFIER	__ecma.Array		p1	ANY	false	p1
30064771119	107374182535	<operator>.fieldAccess	2	FIELD_IDENTIFIER			p2	ANY	false	p2
