package_name	version	tarball_url	source_tree_sha256	tarball_sha256	selection_reason	binding_family	size_bucket	prior_status	n_cpp_files
napi-ldap	1.0.4	https://registry.npmjs.org/napi-ldap/-/napi-ldap-1.0.4.tgz	df691a0bbd063613c6930f1bc0235ff101ecd89a05e9bc62a51c523c20a703f3	501f9f8092896ab56384964792229388fe0d25a78f25564846e8e16e756ee234	deterministic_random_control	none	medium	ANALYZED	5
thunder-node-sdk-lite-m	0.1.16	https://registry.npmjs.org/thunder-node-sdk-lite-m/-/thunder-node-sdk-lite-m-0.1.16.tgz	a841abc06cbf5d4be163f3e7346bee7835ddf4de2369813a1c0f7c8d96a75e79	3dceb5b73a30568282f8a48291586b499b20815e6d5d9483644bb04ad753ba68	deterministic_random_control	none	medium	ANALYZED	12
fullname-native	3.0.0	https://registry.npmjs.org/fullname-native/-/fullname-native-3.0.0.tgz	b99b08134cd90871823d38c5f093972b6594b5cf6db2a1197f2a80df91fc2d2c	fc223cea121f130c902fae454b7578b0bd3b6619e7b9f5ecdfc3008af856262d	deterministic_random_control	nan	small	ANALYZED	1
uiohook-napi	1.5.5	https://registry.npmjs.org/uiohook-napi/-/uiohook-napi-1.5.5.tgz	ddd53c3d6eb57dec142cf3ff5763186086c043481b27efe901adb915f598c1b8	21b489ee141e5d2e82ec595510e8b7dd6c2d9c91266f4094be3bfe04e0a33acd	deterministic_random_control	none	medium	ANALYZED	16
node-pty	1.1.0	https://registry.npmjs.org/node-pty/-/node-pty-1.1.0.tgz	625c9369ea3024f1107ca67a0f9c54602056589ee5658786b4af7917ff4095c4	c7517f19083ddcb05f276904680eb2b11a6b5ecab778b8e4e5685a6d645b3f60	deterministic_random_control	node-addon-api	large	ANALYZED	88
@nodert-win10-rs4/windows.data.xml.dom	0.4.4	https://registry.npmjs.org/@nodert-win10-rs4/windows.data.xml.dom/-/windows.data.xml.dom-0.4.4.tgz	7adc7d7486c82b72871de526a7e0bc799eb21a37f30d093671b8bdc04b2d6d16	3ccf4577327876c52fc3d25d27222f8df2f910c63e6609b070bfd7523e880db2	deterministic_random_control	nan	medium	ANALYZED	4
x509	0.3.4	https://registry.npmjs.org/x509/-/x509-0.3.4.tgz	8c6ff865437c219f77ccc36ff97e488c5e6ac7d62c26bcd6c983f0063bb0feca	0b040b0fb27a8117461366ac4b9515a9b4675c4163d2cfc8753578b211bf25ff	deterministic_random_control	none	small	ANALYZED	2
duckdb	1.4.4	https://registry.npmjs.org/duckdb/-/duckdb-1.4.4.tgz	0d510443bce320bceec68c40036563510947c7493567526cae1a8efdf207382e	5bb967dcbcd517670ba5f169f238fb9d6787e53752c60ebe24386169d76941ed	deterministic_random_control	node-addon-api	large	CPP_CPG_FAILED	2209
uriparser	2.4.0	https://registry.npmjs.org/uriparser/-/uriparser-2.4.0.tgz	3641e2fc5837305a3db051cf9ba0dd430b54ebbf3ce7401ec3bd9e30509933f2	00ef938b94678b11c22094d2c2970b31ded0a9dfd8368c96b6fa85ba64789cd9	deterministic_random_control	nan	medium	ANALYZED	7
smart-whisper	0.8.1	https://registry.npmjs.org/smart-whisper/-/smart-whisper-0.8.1.tgz	183f17e6bffbcdbd18bb0e3632bc2adbd6b7d1542e6987758114c9e8660331a2	f02ab18b17fb75316b43172b82d50e4440d4b08f32f73ba708556065695beada	deterministic_random_control	node-addon-api	large	RESOURCE_LIMIT	84
profoundjs-fibers	2.7.5	https://registry.npmjs.org/profoundjs-fibers/-/profoundjs-fibers-2.7.5.tgz	13df294c03b1545634d88ad704127e2f0cdc31620319e38f845152739c870911	2fb72a7c6ee14a30bca1277d38fe07568e1e250dc4f3fd894d548f36ae5dca2f	deterministic_random_control	none	medium	ANALYZED	4
vsfragments_node	0.0.42	https://registry.npmjs.org/vsfragments_node/-/vsfragments_node-0.0.42.tgz	60a408fe8ce9e8364faca1f9aae183cbdf9ba810fdbac88e0fdb1f390e761454	a472f0e9691fbed572f5ec1d72b7501a0e833c6fc4764682da304c5b2f74f9d0	deterministic_random_control	none	small	ANALYZED	2
@zowe/db2-for-zowe-cli	6.1.17	https://registry.npmjs.org/@zowe/db2-for-zowe-cli/-/db2-for-zowe-cli-6.1.17.tgz	6739b73ef11b42727614b633d1597a5e5ef2432a34d9c053defc1c50eb17e4ed	7795fdeeede05058ca3dcd6a9a76da8b45d73d9a09756fdf55325141b7829f91	deterministic_random_control	node-addon-api	medium	ANALYZED	7
