eligible corpus rows (frozen order): 494
[69/494] nlpplus@1.3.24: export=True regex_literals=40 dangerous=0 qualifies=False
[70/494] @mongodb-js/zstd@7.0.0: export=True regex_literals=1 dangerous=0 qualifies=False
[71/494] react-native-node-api@1.1.1: export=True regex_literals=10 dangerous=0 qualifies=False
[72/494] msgpack@1.0.3: export=True regex_literals=0 dangerous=0 qualifies=False
[73/494] tdl@8.1.0: export=True regex_literals=15 dangerous=0 qualifies=False
[74/494] @serialport/bindings-cpp@13.0.1: export=True regex_literals=13 dangerous=0 qualifies=False
[75/494] node-crc16@2.0.7: export=True regex_literals=0 dangerous=0 qualifies=False
[76/494] @julusian/segfault-raub@2.3.3: export=True regex_literals=0 dangerous=0 qualifies=False
[77/494] node-llama-cpp@3.20.0: export=True regex_literals=402 dangerous=0 qualifies=False
[78/494] @confluentinc/kafka-javascript@1.10.0: export=True regex_literals=353 dangerous=0 qualifies=False
[79/494] @adhdev/ghostty-vt-node@1.0.46: export=True regex_literals=1 dangerous=0 qualifies=False
[80/494] @stdlib/ndarray-base-napi-addon-arguments@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[81/494] macos-export-certificate-and-key@2.0.1: export=True regex_literals=0 dangerous=0 qualifies=False
[82/494] rabin-bindings@1.7.4: export=True regex_literals=0 dangerous=0 qualifies=False
[83/494] great-big-file-reader@1.0.4: export=False regex_literals=0 dangerous=0 qualifies=False
[84/494] microtime@3.1.1: export=True regex_literals=0 dangerous=0 qualifies=False
[85/494] x11-dri@0.6.0: export=True regex_literals=75 dangerous=1 qualifies=True
[86/494] yatag@1.3.0: export=True regex_literals=5 dangerous=0 qualifies=False
[87/494] bcrypt@6.0.0: export=True regex_literals=0 dangerous=0 qualifies=False
[88/494] eccrypto@1.1.6: export=True regex_literals=3 dangerous=0 qualifies=False
[89/494] libsamplerate@2.1.1: export=True regex_literals=0 dangerous=0 qualifies=False
[90/494] ibm_db@4.0.1: export=True regex_literals=7 dangerous=0 qualifies=False
[91/494] @makeomatic/ffi-napi@4.2.0: export=True regex_literals=4 dangerous=0 qualifies=False
[92/494] @gjsify/node-gi@0.44.0: export=True regex_literals=130 dangerous=0 qualifies=False
[93/494] @kiran.kk.phonpe/node-native-ocr@0.3.9: export=True regex_literals=2 dangerous=0 qualifies=False
[94/494] naudiodon@2.3.6: export=True regex_literals=5 dangerous=0 qualifies=False
[95/494] napi-snap7@1.2.3: export=True regex_literals=2 dangerous=0 qualifies=False
[96/494] win-export-certificate-and-key@3.0.2: export=True regex_literals=0 dangerous=0 qualifies=False
[97/494] hnswlib-node@3.0.0: export=True regex_literals=2 dangerous=0 qualifies=False
[98/494] @zerob13/nativekit@0.6.3: export=True regex_literals=7 dangerous=0 qualifies=False
[99/494] macos-alias@0.2.12: export=True regex_literals=0 dangerous=0 qualifies=False
[100/494] @tensorflow/tfjs-node@4.22.0: export=True regex_literals=668 dangerous=0 qualifies=False
[101/494] node-libcurl@5.1.2: export=True regex_literals=117 dangerous=0 qualifies=False
[102/494] fuse-napi@2.3.1: export=True regex_literals=45 dangerous=2 qualifies=True
[103/494] ffi@2.3.0: export=True regex_literals=3 dangerous=0 qualifies=False
[104/494] win-version-info@6.0.1: export=True regex_literals=1 dangerous=0 qualifies=False
[105/494] linux-device@2.1.4: export=True regex_literals=79 dangerous=8 qualifies=True
[106/494] windows-foreground-love@0.6.1: export=True regex_literals=0 dangerous=0 qualifies=False
[107/494] @appthreat/sqlite3@9.0.1: export=True regex_literals=650 dangerous=29 qualifies=True
[108/494] keyring_js@1.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[109/494] multi-spec-parser@0.4.2: export=True regex_literals=120 dangerous=1 qualifies=True
[110/494] @cdktf/node-pty-prebuilt-multiarch@0.10.2: export=True regex_literals=30 dangerous=0 qualifies=False
[111/494] duckdb@1.4.4: export=True regex_literals=0 dangerous=0 qualifies=False
[112/494] @stdlib/strided-napi-addon-arguments@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[113/494] node-firebird-native-api@3.3.0: export=True regex_literals=4 dangerous=0 qualifies=False
[114/494] murmurhash-native@3.5.1: export=True regex_literals=10 dangerous=0 qualifies=False
[115/494] wework-chat-node@1.3.0: export=True regex_literals=6 dangerous=0 qualifies=False
[116/494] faiss-node@0.5.1: export=True regex_literals=2 dangerous=0 qualifies=False
[117/494] @cerebruminc/i420-jpeg-encoder@1.2.1: export=True regex_literals=0 dangerous=0 qualifies=False
[118/494] @h1x4dev/node-addon-api@2.0.0: export=True regex_literals=148 dangerous=1 qualifies=True
[119/494] weak-napi@2.0.2: export=True regex_literals=0 dangerous=0 qualifies=False
[120/494] zip-node-addon@0.0.11: export=True regex_literals=0 dangerous=0 qualifies=False
[121/494] node-quirc@2.3.0: export=True regex_literals=0 dangerous=0 qualifies=False
[122/494] velociradix@8.3.1: export=True regex_literals=408 dangerous=1 qualifies=True
[123/494] ffi-napi-v22@0.0.1: export=True regex_literals=4 dangerous=0 qualifies=False
[124/494] libcec@8.1.6: export=True regex_literals=48 dangerous=0 qualifies=False
[125/494] @vlad-fresha/segfault-raub@2.10.0: export=True regex_literals=0 dangerous=0 qualifies=False
[126/494] pdfium-native@0.9.1: export=True regex_literals=378 dangerous=0 qualifies=False
[127/494] windows-notification-state@2.0.0: export=True regex_literals=0 dangerous=0 qualifies=False
